Data;Lançamento;Detalhes;N° documento;Valor;Tipo Lançamento
31/12/2025;Saldo Anterior; ; ;"489,53"; 
02/01/2026;Pix - Enviado;20/01 14:20 LIST LIST;10201;"-64,00";Saída
02/01/2026;Pix - Enviado;20/01 14:20 LIST LIST;10202;"-16,90";Saída
00/00/0000;Saldo do dia; ; ;"408,63"; 
05/01/2026;Pix - Enviado;20/01 14:20 LIST LIST;10501;"-7,00";Saída
05/01/2026;Pix - Enviado;20/01 14:20 LIST LIST;10502;"-20,00";Saída
00/00/0000;Saldo do dia; ; ;"381,63"; 
06/01/2026;Pix - Enviado;20/01 14:20 LIST LIST;10601;"-21,50";Saída
06/01/2026;Pix - Enviado;20/01 14:20 LIST LIST;10602;"-190,00";Saída
06/01/2026;Pix - Enviado;20/01 14:20 LIST LIST;10603;"-9,00";Saída
00/00/0000;Saldo do dia; ; ;"161,13"; 
07/01/2026;Pix - Enviado;20/01 14:20 LIST LIST;10701;"-4,00";Saída
07/01/2026;Pix - Enviado;20/01 14:20 LIST LIST;10702;"-3,00";Saída
07/01/2026;Pix - Enviado;20/01 14:20 LIST LIST;10703;"-2,50";Saída
07/01/2026;Pix - Enviado;20/01 14:20 LIST LIST;10704;"-2,00";Saída
07/01/2026;Pix - Enviado;20/01 14:20 LIST LIST;10705;"-8,00";Saída
00/00/0000;Saldo do dia; ; ;"141,63"; 
08/01/2026;Pix - Recebido;20/01 14:20 LIST LIST;10201;"150,00";Entrada
08/01/2026;Pix - Recebido;20/01 14:20 LIST LIST;10201;"986,47";Entrada
08/01/2026;Compra com Cartão;20/01 14:20 LIST LIST;167117;"-34,80";Saída
08/01/2026;Pix - Enviado;20/01 14:20 LIST LIST;10801;"-143,55";Saída
08/01/2026;Pix - Enviado;20/01 14:20 LIST LIST;10802;"-12,00";Saída
00/00/0000;Saldo do dia; ; ;"1.087,75"; 
09/01/2026;Compra com Cartão;20/01 14:20 LIST LIST;147963;"-41,58";Saída
09/01/2026;Pix - Enviado;20/01 14:20 LIST LIST;10901;"-17,00";Saída
09/01/2026;Pix - Enviado;20/01 14:20 LIST LIST;10902;"-8,00";Saída
